Date,Close,lag_1,lag_2,lag_3,lag_4,lag_5
2018-05-25,5.5,5.690000057220459,5.800000190734863,5.800000190734863,5.699999809265137,5.699999809265137
2018-05-29,5.474999904632568,5.5,5.690000057220459,5.800000190734863,5.800000190734863,5.699999809265137
2018-05-30,5.474999904632568,5.474999904632568,5.5,5.690000057220459,5.800000190734863,5.800000190734863
2018-05-31,6.086999893188477,5.474999904632568,5.474999904632568,5.5,5.690000057220459,5.800000190734863
2018-06-01,6.27899980545044,6.086999893188477,5.474999904632568,5.474999904632568,5.5,5.690000057220459
2018-06-04,6.5,6.27899980545044,6.086999893188477,5.474999904632568,5.474999904632568,5.5
2018-06-05,6.400000095367432,6.5,6.27899980545044,6.086999893188477,5.474999904632568,5.474999904632568
2018-06-06,6.059999942779541,6.400000095367432,6.5,6.27899980545044,6.086999893188477,5.474999904632568
2018-06-07,6.480000019073486,6.059999942779541,6.400000095367432,6.5,6.27899980545044,6.086999893188477
2018-06-08,6.480000019073486,6.480000019073486,6.059999942779541,6.400000095367432,6.5,6.27899980545044
2018-06-11,5.699999809265137,6.480000019073486,6.480000019073486,6.059999942779541,6.400000095367432,6.5
2018-06-12,6.090000152587891,5.699999809265137,6.480000019073486,6.480000019073486,6.059999942779541,6.400000095367432
2018-06-13,5.909999847412109,6.090000152587891,5.699999809265137,6.480000019073486,6.480000019073486,6.059999942779541
2018-06-14,5.809999942779541,5.909999847412109,6.090000152587891,5.699999809265137,6.480000019073486,6.480000019073486
2018-06-15,5.650000095367432,5.809999942779541,5.909999847412109,6.090000152587891,5.699999809265137,6.480000019073486
2018-06-18,5.599999904632568,5.650000095367432,5.809999942779541,5.909999847412109,6.090000152587891,5.699999809265137
2018-06-19,5.5,5.599999904632568,5.650000095367432,5.809999942779541,5.909999847412109,6.090000152587891
2018-06-20,5.570000171661377,5.5,5.599999904632568,5.650000095367432,5.809999942779541,5.909999847412109
2018-06-21,5.699999809265137,5.570000171661377,5.5,5.599999904632568,5.650000095367432,5.809999942779541
2018-06-22,5.699999809265137,5.699999809265137,5.570000171661377,5.5,5.599999904632568,5.650000095367432
2018-06-25,5.800000190734863,5.699999809265137,5.699999809265137,5.570000171661377,5.5,5.599999904632568
2018-06-26,5.800000190734863,5.800000190734863,5.699999809265137,5.699999809265137,5.570000171661377,5.5
2018-06-27,5.800000190734863,5.800000190734863,5.800000190734863,5.699999809265137,5.699999809265137,5.570000171661377
2018-06-28,6.019999980926514,5.800000190734863,5.800000190734863,5.800000190734863,5.699999809265137,5.699999809265137
2018-06-29,5.96999979019165,6.019999980926514,5.800000190734863,5.800000190734863,5.800000190734863,5.699999809265137
2018-07-02,5.96999979019165,5.96999979019165,6.019999980926514,5.800000190734863,5.800000190734863,5.800000190734863
2018-07-03,5.96999979019165,5.96999979019165,5.96999979019165,6.019999980926514,5.800000190734863,5.800000190734863
2018-07-05,5.96999979019165,5.96999979019165,5.96999979019165,5.96999979019165,6.019999980926514,5.800000190734863
2018-07-06,5.699999809265137,5.96999979019165,5.96999979019165,5.96999979019165,5.96999979019165,6.019999980926514
2018-07-09,5.5,5.699999809265137,5.96999979019165,5.96999979019165,5.96999979019165,5.96999979019165
2018-07-10,5.5,5.5,5.699999809265137,5.96999979019165,5.96999979019165,5.96999979019165
2018-07-11,5.400000095367432,5.5,5.5,5.699999809265137,5.96999979019165,5.96999979019165
2018-07-12,5.349999904632568,5.400000095367432,5.5,5.5,5.699999809265137,5.96999979019165
2018-07-13,5.03000020980835,5.349999904632568,5.400000095367432,5.5,5.5,5.699999809265137
2018-07-16,5.590000152587891,5.03000020980835,5.349999904632568,5.400000095367432,5.5,5.5
2018-07-17,5.800000190734863,5.590000152587891,5.03000020980835,5.349999904632568,5.400000095367432,5.5
2018-07-18,5.539999961853027,5.800000190734863,5.590000152587891,5.03000020980835,5.349999904632568,5.400000095367432
2018-07-19,6.010000228881836,5.539999961853027,5.800000190734863,5.590000152587891,5.03000020980835,5.349999904632568
2018-07-20,5.400000095367432,6.010000228881836,5.539999961853027,5.800000190734863,5.590000152587891,5.03000020980835
2018-07-23,5.760000228881836,5.400000095367432,6.010000228881836,5.539999961853027,5.800000190734863,5.590000152587891
2018-07-24,5.5,5.760000228881836,5.400000095367432,6.010000228881836,5.539999961853027,5.800000190734863
2018-07-25,6.340000152587891,5.5,5.760000228881836,5.400000095367432,6.010000228881836,5.539999961853027
2018-07-26,5.5,6.340000152587891,5.5,5.760000228881836,5.400000095367432,6.010000228881836
2018-07-27,6.329999923706055,5.5,6.340000152587891,5.5,5.760000228881836,5.400000095367432
2018-07-30,6.210000038146973,6.329999923706055,5.5,6.340000152587891,5.5,5.760000228881836
2018-07-31,6.199999809265137,6.210000038146973,6.329999923706055,5.5,6.340000152587891,5.5
2018-08-01,6.289999961853027,6.199999809265137,6.210000038146973,6.329999923706055,5.5,6.340000152587891
2018-08-02,5.400000095367432,6.289999961853027,6.199999809265137,6.210000038146973,6.329999923706055,5.5
2018-08-03,5.989999771118164,5.400000095367432,6.289999961853027,6.199999809265137,6.210000038146973,6.329999923706055
2018-08-06,5.840000152587891,5.989999771118164,5.400000095367432,6.289999961853027,6.199999809265137,6.210000038146973
2018-08-07,6.0,5.840000152587891,5.989999771118164,5.400000095367432,6.289999961853027,6.199999809265137
2018-08-08,5.559999942779541,6.0,5.840000152587891,5.989999771118164,5.400000095367432,6.289999961853027
2018-08-09,5.349999904632568,5.559999942779541,6.0,5.840000152587891,5.989999771118164,5.400000095367432
2018-08-10,5.5,5.349999904632568,5.559999942779541,6.0,5.840000152587891,5.989999771118164
2018-08-13,5.559999942779541,5.5,5.349999904632568,5.559999942779541,6.0,5.840000152587891
2018-08-14,5.349999904632568,5.559999942779541,5.5,5.349999904632568,5.559999942779541,6.0
2018-08-15,5.349999904632568,5.349999904632568,5.559999942779541,5.5,5.349999904632568,5.559999942779541
2018-08-16,5.400000095367432,5.349999904632568,5.349999904632568,5.559999942779541,5.5,5.349999904632568
2018-08-17,5.670000076293945,5.400000095367432,5.349999904632568,5.349999904632568,5.559999942779541,5.5
2018-08-20,5.5,5.670000076293945,5.400000095367432,5.349999904632568,5.349999904632568,5.559999942779541
2018-08-21,5.400000095367432,5.5,5.670000076293945,5.400000095367432,5.349999904632568,5.349999904632568
2018-08-22,5.5,5.400000095367432,5.5,5.670000076293945,5.400000095367432,5.349999904632568
2018-08-23,5.320000171661377,5.5,5.400000095367432,5.5,5.670000076293945,5.400000095367432
2018-08-24,5.849999904632568,5.320000171661377,5.5,5.400000095367432,5.5,5.670000076293945
2018-08-27,5.480999946594238,5.849999904632568,5.320000171661377,5.5,5.400000095367432,5.5
2018-08-28,5.480999946594238,5.480999946594238,5.849999904632568,5.320000171661377,5.5,5.400000095367432
2018-08-29,5.590000152587891,5.480999946594238,5.480999946594238,5.849999904632568,5.320000171661377,5.5
2018-08-30,5.5,5.590000152587891,5.480999946594238,5.480999946594238,5.849999904632568,5.320000171661377
2018-08-31,5.421999931335449,5.5,5.590000152587891,5.480999946594238,5.480999946594238,5.849999904632568
2018-09-04,5.179999828338623,5.421999931335449,5.5,5.590000152587891,5.480999946594238,5.480999946594238
2018-09-05,5.25,5.179999828338623,5.421999931335449,5.5,5.590000152587891,5.480999946594238
2018-09-06,5.210000038146973,5.25,5.179999828338623,5.421999931335449,5.5,5.590000152587891
2018-09-07,5.179999828338623,5.210000038146973,5.25,5.179999828338623,5.421999931335449,5.5
2018-09-10,5.050000190734863,5.179999828338623,5.210000038146973,5.25,5.179999828338623,5.421999931335449
2018-09-11,5.25,5.050000190734863,5.179999828338623,5.210000038146973,5.25,5.179999828338623
2018-09-12,5.099999904632568,5.25,5.050000190734863,5.179999828338623,5.210000038146973,5.25
2018-09-13,5.300000190734863,5.099999904632568,5.25,5.050000190734863,5.179999828338623,5.210000038146973
2018-09-14,5.099999904632568,5.300000190734863,5.099999904632568,5.25,5.050000190734863,5.179999828338623
2018-09-17,5.099999904632568,5.099999904632568,5.300000190734863,5.099999904632568,5.25,5.050000190734863
2018-09-18,5.150000095367432,5.099999904632568,5.099999904632568,5.300000190734863,5.099999904632568,5.25
2018-09-19,5.150000095367432,5.150000095367432,5.099999904632568,5.099999904632568,5.300000190734863,5.099999904632568
2018-09-20,5.150000095367432,5.150000095367432,5.150000095367432,5.099999904632568,5.099999904632568,5.300000190734863
2018-09-21,5.099999904632568,5.150000095367432,5.150000095367432,5.150000095367432,5.099999904632568,5.099999904632568
2018-09-24,5.340000152587891,5.099999904632568,5.150000095367432,5.150000095367432,5.150000095367432,5.099999904632568
2018-09-25,5.150000095367432,5.340000152587891,5.099999904632568,5.150000095367432,5.150000095367432,5.150000095367432
2018-09-26,5.172999858856201,5.150000095367432,5.340000152587891,5.099999904632568,5.150000095367432,5.150000095367432
2018-09-27,5.199999809265137,5.172999858856201,5.150000095367432,5.340000152587891,5.099999904632568,5.150000095367432
2018-09-28,5.199999809265137,5.199999809265137,5.172999858856201,5.150000095367432,5.340000152587891,5.099999904632568
2018-10-01,5.230000019073486,5.199999809265137,5.199999809265137,5.172999858856201,5.150000095367432,5.340000152587891
2018-10-02,5.150000095367432,5.230000019073486,5.199999809265137,5.199999809265137,5.172999858856201,5.150000095367432
2018-10-03,5.010000228881836,5.150000095367432,5.230000019073486,5.199999809265137,5.199999809265137,5.172999858856201
2018-10-04,5.010000228881836,5.010000228881836,5.150000095367432,5.230000019073486,5.199999809265137,5.199999809265137
2018-10-05,5.010000228881836,5.010000228881836,5.010000228881836,5.150000095367432,5.230000019073486,5.199999809265137
2018-10-08,5.010000228881836,5.010000228881836,5.010000228881836,5.010000228881836,5.150000095367432,5.230000019073486
2018-10-09,5.199999809265137,5.010000228881836,5.010000228881836,5.010000228881836,5.010000228881836,5.150000095367432
2018-10-10,5.181000232696533,5.199999809265137,5.010000228881836,5.010000228881836,5.010000228881836,5.010000228881836
2018-10-11,5.181000232696533,5.181000232696533,5.199999809265137,5.010000228881836,5.010000228881836,5.010000228881836
2018-10-12,5.0,5.181000232696533,5.181000232696533,5.199999809265137,5.010000228881836,5.010000228881836
2018-10-15,5.0,5.0,5.181000232696533,5.181000232696533,5.199999809265137,5.010000228881836
2018-10-16,5.25,5.0,5.0,5.181000232696533,5.181000232696533,5.199999809265137
2018-10-17,5.400000095367432,5.25,5.0,5.0,5.181000232696533,5.181000232696533
2018-10-18,5.400000095367432,5.400000095367432,5.25,5.0,5.0,5.181000232696533
2018-10-19,5.5,5.400000095367432,5.400000095367432,5.25,5.0,5.0
2018-10-22,6.110000133514404,5.5,5.400000095367432,5.400000095367432,5.25,5.0
2018-10-23,6.349999904632568,6.110000133514404,5.5,5.400000095367432,5.400000095367432,5.25
2018-10-24,5.989999771118164,6.349999904632568,6.110000133514404,5.5,5.400000095367432,5.400000095367432
2018-10-25,5.849999904632568,5.989999771118164,6.349999904632568,6.110000133514404,5.5,5.400000095367432
2018-10-26,5.53000020980835,5.849999904632568,5.989999771118164,6.349999904632568,6.110000133514404,5.5
2018-10-29,5.670000076293945,5.53000020980835,5.849999904632568,5.989999771118164,6.349999904632568,6.110000133514404
2018-10-30,5.5879998207092285,5.670000076293945,5.53000020980835,5.849999904632568,5.989999771118164,6.349999904632568
2018-10-31,5.527999877929688,5.5879998207092285,5.670000076293945,5.53000020980835,5.849999904632568,5.989999771118164
2018-11-01,5.3470001220703125,5.527999877929688,5.5879998207092285,5.670000076293945,5.53000020980835,5.849999904632568
2018-11-02,5.25,5.3470001220703125,5.527999877929688,5.5879998207092285,5.670000076293945,5.53000020980835
2018-11-05,5.0,5.25,5.3470001220703125,5.527999877929688,5.5879998207092285,5.670000076293945
2018-11-06,5.366000175476074,5.0,5.25,5.3470001220703125,5.527999877929688,5.5879998207092285
2018-11-07,5.671999931335449,5.366000175476074,5.0,5.25,5.3470001220703125,5.527999877929688
2018-11-08,5.679999828338623,5.671999931335449,5.366000175476074,5.0,5.25,5.3470001220703125
2018-11-09,5.620999813079834,5.679999828338623,5.671999931335449,5.366000175476074,5.0,5.25
2018-11-12,5.449999809265137,5.620999813079834,5.679999828338623,5.671999931335449,5.366000175476074,5.0
2018-11-13,5.327000141143799,5.449999809265137,5.620999813079834,5.679999828338623,5.671999931335449,5.366000175476074
2018-11-14,5.349999904632568,5.327000141143799,5.449999809265137,5.620999813079834,5.679999828338623,5.671999931335449
2018-11-15,5.5,5.349999904632568,5.327000141143799,5.449999809265137,5.620999813079834,5.679999828338623
2018-11-16,5.276000022888184,5.5,5.349999904632568,5.327000141143799,5.449999809265137,5.620999813079834
2018-11-19,5.380000114440918,5.276000022888184,5.5,5.349999904632568,5.327000141143799,5.449999809265137
2018-11-20,5.664000034332275,5.380000114440918,5.276000022888184,5.5,5.349999904632568,5.327000141143799
2018-11-21,5.949999809265137,5.664000034332275,5.380000114440918,5.276000022888184,5.5,5.349999904632568
2018-11-23,5.809999942779541,5.949999809265137,5.664000034332275,5.380000114440918,5.276000022888184,5.5
2018-11-26,5.980000019073486,5.809999942779541,5.949999809265137,5.664000034332275,5.380000114440918,5.276000022888184
2018-11-27,5.800000190734863,5.980000019073486,5.809999942779541,5.949999809265137,5.664000034332275,5.380000114440918
2018-11-28,5.900000095367432,5.800000190734863,5.980000019073486,5.809999942779541,5.949999809265137,5.664000034332275
2018-11-29,5.953000068664551,5.900000095367432,5.800000190734863,5.980000019073486,5.809999942779541,5.949999809265137
2018-11-30,5.900000095367432,5.953000068664551,5.900000095367432,5.800000190734863,5.980000019073486,5.809999942779541
2018-12-03,5.840000152587891,5.900000095367432,5.953000068664551,5.900000095367432,5.800000190734863,5.980000019073486
2018-12-04,5.300000190734863,5.840000152587891,5.900000095367432,5.953000068664551,5.900000095367432,5.800000190734863
2018-12-06,5.150000095367432,5.300000190734863,5.840000152587891,5.900000095367432,5.953000068664551,5.900000095367432
2018-12-07,4.840000152587891,5.150000095367432,5.300000190734863,5.840000152587891,5.900000095367432,5.953000068664551
2018-12-10,4.559999942779541,4.840000152587891,5.150000095367432,5.300000190734863,5.840000152587891,5.900000095367432
2018-12-11,4.599999904632568,4.559999942779541,4.840000152587891,5.150000095367432,5.300000190734863,5.840000152587891
2018-12-12,4.550000190734863,4.599999904632568,4.559999942779541,4.840000152587891,5.150000095367432,5.300000190734863
2018-12-13,4.409999847412109,4.550000190734863,4.599999904632568,4.559999942779541,4.840000152587891,5.150000095367432
2018-12-14,4.102000236511231,4.409999847412109,4.550000190734863,4.599999904632568,4.559999942779541,4.840000152587891
2018-12-17,4.35099983215332,4.102000236511231,4.409999847412109,4.550000190734863,4.599999904632568,4.559999942779541
2018-12-18,4.739999771118164,4.35099983215332,4.102000236511231,4.409999847412109,4.550000190734863,4.599999904632568
2018-12-19,4.599999904632568,4.739999771118164,4.35099983215332,4.102000236511231,4.409999847412109,4.550000190734863
2018-12-20,4.449999809265137,4.599999904632568,4.739999771118164,4.35099983215332,4.102000236511231,4.409999847412109
2018-12-21,4.489999771118164,4.449999809265137,4.599999904632568,4.739999771118164,4.35099983215332,4.102000236511231
2018-12-24,4.349999904632568,4.489999771118164,4.449999809265137,4.599999904632568,4.739999771118164,4.35099983215332
2018-12-26,4.340000152587891,4.349999904632568,4.489999771118164,4.449999809265137,4.599999904632568,4.739999771118164
2018-12-27,3.670000076293945,4.340000152587891,4.349999904632568,4.489999771118164,4.449999809265137,4.599999904632568
2018-12-28,3.920000076293945,3.670000076293945,4.340000152587891,4.349999904632568,4.489999771118164,4.449999809265137
2018-12-31,4.199999809265137,3.920000076293945,3.670000076293945,4.340000152587891,4.349999904632568,4.489999771118164
2019-01-02,4.5920000076293945,4.199999809265137,3.920000076293945,3.670000076293945,4.340000152587891,4.349999904632568
2019-01-03,4.816999912261963,4.5920000076293945,4.199999809265137,3.920000076293945,3.670000076293945,4.340000152587891
2019-01-04,4.900000095367432,4.816999912261963,4.5920000076293945,4.199999809265137,3.920000076293945,3.670000076293945
2019-01-07,4.849999904632568,4.900000095367432,4.816999912261963,4.5920000076293945,4.199999809265137,3.920000076293945
2019-01-08,4.739999771118164,4.849999904632568,4.900000095367432,4.816999912261963,4.5920000076293945,4.199999809265137
2019-01-09,4.550000190734863,4.739999771118164,4.849999904632568,4.900000095367432,4.816999912261963,4.5920000076293945
2019-01-10,4.78000020980835,4.550000190734863,4.739999771118164,4.849999904632568,4.900000095367432,4.816999912261963
2019-01-11,4.789999961853027,4.78000020980835,4.550000190734863,4.739999771118164,4.849999904632568,4.900000095367432
2019-01-14,4.550000190734863,4.789999961853027,4.78000020980835,4.550000190734863,4.739999771118164,4.849999904632568
2019-01-15,4.349999904632568,4.550000190734863,4.789999961853027,4.78000020980835,4.550000190734863,4.739999771118164
2019-01-16,4.75,4.349999904632568,4.550000190734863,4.789999961853027,4.78000020980835,4.550000190734863
2019-01-17,4.75,4.75,4.349999904632568,4.550000190734863,4.789999961853027,4.78000020980835
2019-01-18,4.75,4.75,4.75,4.349999904632568,4.550000190734863,4.789999961853027
2019-01-22,4.449999809265137,4.75,4.75,4.75,4.349999904632568,4.550000190734863
2019-01-23,4.5,4.449999809265137,4.75,4.75,4.75,4.349999904632568
2019-01-24,4.769999980926514,4.5,4.449999809265137,4.75,4.75,4.75
2019-01-25,5.099999904632568,4.769999980926514,4.5,4.449999809265137,4.75,4.75
2019-01-28,5.480000019073486,5.099999904632568,4.769999980926514,4.5,4.449999809265137,4.75
2019-01-29,5.739999771118164,5.480000019073486,5.099999904632568,4.769999980926514,4.5,4.449999809265137
2019-01-30,5.929999828338623,5.739999771118164,5.480000019073486,5.099999904632568,4.769999980926514,4.5
2019-01-31,6.0,5.929999828338623,5.739999771118164,5.480000019073486,5.099999904632568,4.769999980926514
2019-02-01,5.800000190734863,6.0,5.929999828338623,5.739999771118164,5.480000019073486,5.099999904632568
2019-02-04,6.0,5.800000190734863,6.0,5.929999828338623,5.739999771118164,5.480000019073486
2019-02-05,5.696000099182129,6.0,5.800000190734863,6.0,5.929999828338623,5.739999771118164
2019-02-06,5.5,5.696000099182129,6.0,5.800000190734863,6.0,5.929999828338623
2019-02-07,5.349999904632568,5.5,5.696000099182129,6.0,5.800000190734863,6.0
2019-02-08,5.300000190734863,5.349999904632568,5.5,5.696000099182129,6.0,5.800000190734863
2019-02-11,5.300000190734863,5.300000190734863,5.349999904632568,5.5,5.696000099182129,6.0
2019-02-12,5.39900016784668,5.300000190734863,5.300000190734863,5.349999904632568,5.5,5.696000099182129
2019-02-13,5.400000095367432,5.39900016784668,5.300000190734863,5.300000190734863,5.349999904632568,5.5
2019-02-14,5.179999828338623,5.400000095367432,5.39900016784668,5.300000190734863,5.300000190734863,5.349999904632568
2019-02-15,5.0,5.179999828338623,5.400000095367432,5.39900016784668,5.300000190734863,5.300000190734863
2019-02-19,5.355999946594238,5.0,5.179999828338623,5.400000095367432,5.39900016784668,5.300000190734863
2019-02-20,5.550000190734863,5.355999946594238,5.0,5.179999828338623,5.400000095367432,5.39900016784668
2019-02-21,5.75,5.550000190734863,5.355999946594238,5.0,5.179999828338623,5.400000095367432
2019-02-22,5.599999904632568,5.75,5.550000190734863,5.355999946594238,5.0,5.179999828338623
2019-02-25,5.349999904632568,5.599999904632568,5.75,5.550000190734863,5.355999946594238,5.0
2019-02-26,5.449999809265137,5.349999904632568,5.599999904632568,5.75,5.550000190734863,5.355999946594238
2019-02-27,5.679999828338623,5.449999809265137,5.349999904632568,5.599999904632568,5.75,5.550000190734863
2019-02-28,5.699999809265137,5.679999828338623,5.449999809265137,5.349999904632568,5.599999904632568,5.75
2019-03-01,5.159999847412109,5.699999809265137,5.679999828338623,5.449999809265137,5.349999904632568,5.599999904632568
2019-03-04,5.159999847412109,5.159999847412109,5.699999809265137,5.679999828338623,5.449999809265137,5.349999904632568
2019-03-05,5.699999809265137,5.159999847412109,5.159999847412109,5.699999809265137,5.679999828338623,5.449999809265137
2019-03-06,5.820000171661377,5.699999809265137,5.159999847412109,5.159999847412109,5.699999809265137,5.679999828338623
2019-03-07,6.090000152587891,5.820000171661377,5.699999809265137,5.159999847412109,5.159999847412109,5.699999809265137
2019-03-08,6.0,6.090000152587891,5.820000171661377,5.699999809265137,5.159999847412109,5.159999847412109
2019-03-11,5.699999809265137,6.0,6.090000152587891,5.820000171661377,5.699999809265137,5.159999847412109
2019-03-12,5.506999969482422,5.699999809265137,6.0,6.090000152587891,5.820000171661377,5.699999809265137
2019-03-13,5.75,5.506999969482422,5.699999809265137,6.0,6.090000152587891,5.820000171661377
2019-03-14,5.75,5.75,5.506999969482422,5.699999809265137,6.0,6.090000152587891
2019-03-15,5.75,5.75,5.75,5.506999969482422,5.699999809265137,6.0
2019-03-18,5.849999904632568,5.75,5.75,5.75,5.506999969482422,5.699999809265137
2019-03-19,5.929999828338623,5.849999904632568,5.75,5.75,5.75,5.506999969482422
2019-03-20,5.744999885559082,5.929999828338623,5.849999904632568,5.75,5.75,5.75
2019-03-21,5.900000095367432,5.744999885559082,5.929999828338623,5.849999904632568,5.75,5.75
2019-03-22,5.900000095367432,5.900000095367432,5.744999885559082,5.929999828338623,5.849999904632568,5.75
2019-03-25,5.627999782562256,5.900000095367432,5.900000095367432,5.744999885559082,5.929999828338623,5.849999904632568
2019-03-26,5.599999904632568,5.627999782562256,5.900000095367432,5.900000095367432,5.744999885559082,5.929999828338623
2019-03-27,5.809999942779541,5.599999904632568,5.627999782562256,5.900000095367432,5.900000095367432,5.744999885559082
2019-03-28,5.5,5.809999942779541,5.599999904632568,5.627999782562256,5.900000095367432,5.900000095367432
2019-03-29,5.5,5.5,5.809999942779541,5.599999904632568,5.627999782562256,5.900000095367432
2019-04-01,5.550000190734863,5.5,5.5,5.809999942779541,5.599999904632568,5.627999782562256
2019-04-02,5.396999835968018,5.550000190734863,5.5,5.5,5.809999942779541,5.599999904632568
2019-04-03,5.5,5.396999835968018,5.550000190734863,5.5,5.5,5.809999942779541
2019-04-04,5.573999881744385,5.5,5.396999835968018,5.550000190734863,5.5,5.5
2019-04-05,5.789999961853027,5.573999881744385,5.5,5.396999835968018,5.550000190734863,5.5
2019-04-08,5.574999809265137,5.789999961853027,5.573999881744385,5.5,5.396999835968018,5.550000190734863
2019-04-09,5.480000019073486,5.574999809265137,5.789999961853027,5.573999881744385,5.5,5.396999835968018
2019-04-10,5.494999885559082,5.480000019073486,5.574999809265137,5.789999961853027,5.573999881744385,5.5
2019-04-11,5.494999885559082,5.494999885559082,5.480000019073486,5.574999809265137,5.789999961853027,5.573999881744385
2019-04-12,5.327000141143799,5.494999885559082,5.494999885559082,5.480000019073486,5.574999809265137,5.789999961853027
2019-04-15,5.288000106811523,5.327000141143799,5.494999885559082,5.494999885559082,5.480000019073486,5.574999809265137
2019-04-16,5.300000190734863,5.288000106811523,5.327000141143799,5.494999885559082,5.494999885559082,5.480000019073486
2019-04-17,5.364999771118164,5.300000190734863,5.288000106811523,5.327000141143799,5.494999885559082,5.494999885559082
2019-04-18,5.364999771118164,5.364999771118164,5.300000190734863,5.288000106811523,5.327000141143799,5.494999885559082
2019-04-22,5.320000171661377,5.364999771118164,5.364999771118164,5.300000190734863,5.288000106811523,5.327000141143799
2019-04-23,5.099999904632568,5.320000171661377,5.364999771118164,5.364999771118164,5.300000190734863,5.288000106811523
2019-04-24,5.105000019073486,5.099999904632568,5.320000171661377,5.364999771118164,5.364999771118164,5.300000190734863
2019-04-25,5.105000019073486,5.105000019073486,5.099999904632568,5.320000171661377,5.364999771118164,5.364999771118164
2019-04-26,5.21999979019165,5.105000019073486,5.105000019073486,5.099999904632568,5.320000171661377,5.364999771118164
2019-04-29,5.21999979019165,5.21999979019165,5.105000019073486,5.105000019073486,5.099999904632568,5.320000171661377
2019-04-30,5.309999942779541,5.21999979019165,5.21999979019165,5.105000019073486,5.105000019073486,5.099999904632568
2019-05-01,5.267000198364258,5.309999942779541,5.21999979019165,5.21999979019165,5.105000019073486,5.105000019073486
2019-05-02,5.099999904632568,5.267000198364258,5.309999942779541,5.21999979019165,5.21999979019165,5.105000019073486
2019-05-03,5.239999771118164,5.099999904632568,5.267000198364258,5.309999942779541,5.21999979019165,5.21999979019165
2019-05-06,5.150000095367432,5.239999771118164,5.099999904632568,5.267000198364258,5.309999942779541,5.21999979019165
2019-05-07,5.099999904632568,5.150000095367432,5.239999771118164,5.099999904632568,5.267000198364258,5.309999942779541
2019-05-08,5.099999904632568,5.099999904632568,5.150000095367432,5.239999771118164,5.099999904632568,5.267000198364258
2019-05-09,5.127999782562256,5.099999904632568,5.099999904632568,5.150000095367432,5.239999771118164,5.099999904632568
2019-05-10,5.099999904632568,5.127999782562256,5.099999904632568,5.099999904632568,5.150000095367432,5.239999771118164
2019-05-13,5.099999904632568,5.099999904632568,5.127999782562256,5.099999904632568,5.099999904632568,5.150000095367432
2019-05-14,5.199999809265137,5.099999904632568,5.099999904632568,5.127999782562256,5.099999904632568,5.099999904632568
2019-05-15,5.099999904632568,5.199999809265137,5.099999904632568,5.099999904632568,5.127999782562256,5.099999904632568
2019-05-16,5.199999809265137,5.099999904632568,5.199999809265137,5.099999904632568,5.099999904632568,5.127999782562256
2019-05-17,5.199999809265137,5.199999809265137,5.099999904632568,5.199999809265137,5.099999904632568,5.099999904632568
2019-05-20,5.21999979019165,5.199999809265137,5.199999809265137,5.099999904632568,5.199999809265137,5.099999904632568
2019-05-21,5.099999904632568,5.21999979019165,5.199999809265137,5.199999809265137,5.099999904632568,5.199999809265137
2019-05-22,5.0,5.099999904632568,5.21999979019165,5.199999809265137,5.199999809265137,5.099999904632568
2019-05-23,5.099999904632568,5.0,5.099999904632568,5.21999979019165,5.199999809265137,5.199999809265137
2019-05-24,4.130000114440918,5.099999904632568,5.0,5.099999904632568,5.21999979019165,5.199999809265137
2019-05-28,4.599999904632568,4.130000114440918,5.099999904632568,5.0,5.099999904632568,5.21999979019165
2019-05-29,4.599999904632568,4.599999904632568,4.130000114440918,5.099999904632568,5.0,5.099999904632568
2019-05-30,4.949999809265137,4.599999904632568,4.599999904632568,4.130000114440918,5.099999904632568,5.0
2019-05-31,5.11899995803833,4.949999809265137,4.599999904632568,4.599999904632568,4.130000114440918,5.099999904632568
2019-06-03,5.119999885559082,5.11899995803833,4.949999809265137,4.599999904632568,4.599999904632568,4.130000114440918
2019-06-04,5.349999904632568,5.119999885559082,5.11899995803833,4.949999809265137,4.599999904632568,4.599999904632568
2019-06-05,5.71999979019165,5.349999904632568,5.119999885559082,5.11899995803833,4.949999809265137,4.599999904632568
2019-06-06,5.699999809265137,5.71999979019165,5.349999904632568,5.119999885559082,5.11899995803833,4.949999809265137
2019-06-07,5.699999809265137,5.699999809265137,5.71999979019165,5.349999904632568,5.119999885559082,5.11899995803833
2019-06-10,5.71999979019165,5.699999809265137,5.699999809265137,5.71999979019165,5.349999904632568,5.119999885559082
2019-06-11,5.71999979019165,5.71999979019165,5.699999809265137,5.699999809265137,5.71999979019165,5.349999904632568
2019-06-12,5.71999979019165,5.71999979019165,5.71999979019165,5.699999809265137,5.699999809265137,5.71999979019165
2019-06-13,5.730000019073486,5.71999979019165,5.71999979019165,5.71999979019165,5.699999809265137,5.699999809265137
2019-06-14,5.730000019073486,5.730000019073486,5.71999979019165,5.71999979019165,5.71999979019165,5.699999809265137
2019-06-17,5.71999979019165,5.730000019073486,5.730000019073486,5.71999979019165,5.71999979019165,5.71999979019165
2019-06-18,5.610000133514404,5.71999979019165,5.730000019073486,5.730000019073486,5.71999979019165,5.71999979019165
2019-06-19,4.869999885559082,5.610000133514404,5.71999979019165,5.730000019073486,5.730000019073486,5.71999979019165
2019-06-20,5.0,4.869999885559082,5.610000133514404,5.71999979019165,5.730000019073486,5.730000019073486
2019-06-21,5.0,5.0,4.869999885559082,5.610000133514404,5.71999979019165,5.730000019073486
